symptoms,disease
vomiting diarrhea bloody stool lethargy loss of appetite,Parvovirus
fever discharge eyes nose coughing seizures,Distemper
dry hacking cough goose honk sound runny nose,Kennel Cough
itching scratching red skin rashes hives,Skin Allergy
excessive scratching small black dots on fur hair loss,Flea Infestation
vomiting diarrhea stomach pain nausea,Gastroenteritis
stiffness limping joint pain difficulty walking,Arthritis
excessive thirst frequent urination weight loss increased appetite,Diabetes
coughing difficulty breathing fatigue exercise intolerance,Heart Disease
seizures convulsions collapsing muscle twitching,Epilepsy
bad breath loose teeth bleeding gums drooling,Dental Disease
head shaking scratching ears foul smell discharge from ear,Ear Infection
pale gums weakness fatigue rapid breathing,Anemia
bloated stomach restlessness unproductive retching distended abdomen,Gastric Dilatation
jaundice yellow skin loss of appetite vomiting,Liver Disease
frequent urination straining blood in urine,Urinary Tract Infection
intense itching hair loss crusty skin sores,Mange
aggression paralysis excessive drooling behavioral changes,Rabies
sneezing nasal discharge eye discharge difficulty breathing,Upper Respiratory Infection
pot belly scooting worms in stool weight loss,Intestinal Parasites
circular lesions hair loss scaly skin,Ringworm
healthy energetic good appetite normal stool,Healthy
red irritated skin pustules crusting discharge,Skin Infection
small bumps attached to skin tick visible lethargy,Ticks
vomiting blood lethargy pale gums weakness,Parvovirus
runny nose fever coughing weakness muscle pain,Distemper
honking cough gagging retching,Kennel Cough
licking paws red inflamed skin watery eyes,Skin Allergy
excessive grooming biting tail flea dirt,Flea Infestation
vomiting blood in stool dehydration lethargy,Gastroenteritis
reluctance to climb stairs slow rising morning stiffness,Arthritis
cloudy eyes cataracts excessive hunger,Diabetes
rapid breathing swollen belly heart murmur,Heart Disease
sudden falling consciousness loss paddling legs,Epilepsy
tooth pain reluctance to eat dropping food,Dental Disease
tilting head loss of balance crying when ear touched,Ear Infection
exercise intolerance rapid heart rate weakness,Anemia
sudden swelling abdomen vomiting attempting defecation,Gastric Dilatation
swollen abdomen weight loss dark urine,Liver Disease
painful urination dribbling accidents in house,Urinary Tract Infection
hair loss red itchy skin spreading patches,Mange
biting attacking fearfulness paralysis,Rabies
runny eyes nasal discharge sneezing,Upper Respiratory Infection
visible worms bloated belly diarrhea poor coat,Intestinal Parasites
bald patches ring shaped lesions skin flaking,Ringworm
